786,1.111
937787,1.111
937788,1.111
937789,1.111
937790,1.111
937791,1.111
937792,1.111
937793,1.111
937794,1.111
937795,1.111
937796,1.111
937797,1.111
937798,1.111
937799,1.111
937825,1.111
937826,1.111
937827,1.111
937828,1.111
937829,1.111
937830,1.111
937831,1.111
937832,1.111
937833,1.111
937834,1.111
937835,1.111
937836,1.111
937837,1.111
937838,1.111
937839,1.111
937840,1.111
937841,1.111
937842,1.111
937843,1.111
937844,1.111
937845,1.111
937846,1.111
937847,1.111
937897,1.111
937898,1.111
937899,1.111
937900,1.111
937901,1.111
937902,1.111
937903,1.111
937904,1.111
937905,1.111
937906,1.111
937907,1.111
937908,1.111
937909,1.111
937910,1.111
937911,1.111
937912,1.111
937913,1.111
937914,1.111
937915,1.111
937916,1.111
937917,1.111
937918,1.111
937919,1.111
937945,1.111
937946,1.111
937947,1.111
937948,1.111
937949,1.111
937950,1.111
937951,1.111
937952,1.111
937953,1.111
937954,1.111
937955,1.111
937956,1.111
937957,1.111
937958,1.111
937959,1.111
937960,1.111
937961,1.111
937962,1.111
937963,1.111
937964,1.111
937965,1.111
937966,1.111
937967,1.111
937993,1.111
937994,1.111
937995,1.111
937996,1.111
937997,1.111
937998,1.111
937999,1.111
938000,1.111
938001,1.111
938002,1.111
938003,1.111
938004,1.111
938005,1.111
938006,1.111
938007,1.111
938008,1.111
938009,1.111
938010,1.111
938011,1.111
938012,1.111
938013,1.111
938014,1.111
938015,1.111
938089,1.111
938090,1.111
938091,1.111
938092,1.111
938093,1.111
938094,1.111
938095,1.111
938096,1.111
938097,1.111
938098,1.111
938099,1.111
938100,1.111
938101,1.111
938102,1.111
938103,1.111
938104,1.111
938105,1.111
938106,1.111
938107,1.111
938108,1.111
938109,1.111
938110,1.111
938111,1.111
938185,1.111
938186,1.111
938187,1.111
938188,1.111
938189,1.111
938190,1.111
938191,1.111
938192,1.111
938193,1.111
938194,1.111
938195,1.111
938196,1.111
938197,1.111
938198,1.111
938199,1.111
938200,1.111
938201,1.111
938202,1.111
938203,1.111
938204,1.111
938205,1.111
938206,1.111
938207,1.111
938233,1.111
938234,1.111
938235,1.111
938236,1.111
938237,1.111
938238,1.111
938239,1.111
938240,1.111
938241,1.111
938242,1.111
938243,1.111
938244,1.111
938245,1.111
938246,1.111
938247,1.111
938248,1.111
938249,1.111
938250,1.111
938251,1.111
938252,1.111
938253,1.111
938254,1.111
938255,1.111
938281,1.111
938282,1.111
938283,1.111
938284,1.111
938285,1.111
938286,1.111
938287,1.111
938288,1.111
938289,1.111
938290,1.111
938291,1.111
938292,1.111
938293,1.111
938294,1.111
938295,1.111
938296,1.111
938297,1.111
938298,1.111
938299,1.111
